sample,reference
C093-0_libmerged,ref41-44
C093-1_libmerged,ref41-44
C597-0_lib1,ref21-24
C597-1_libmerged,ref41-44
CA521-0_libmerged,ref41-44
CA521-1_libmerged,ref41-44
COV2-2015-0_lib1,ref21-24
COV2-2015-1_libmerged,ref41-44
COV2-2103-0_libmerged,ref41-44
COV2-2353-0_lib1,ref21-24
COV2-2353-1_libmerged,ref41-44
COV2-2678-0_libmerged,ref41-44
COV2-2678-1_libmerged,ref41-44
COVOX-75-0_NNSmerged,ref37-40
COVOX-75-1_libmerged,ref41-44
REGN10933-0_lib1,ref5-5
REGN10933-1_lib2,ref6-6
COVOX-150-0_lib1,ref8-8
COVOX-150-1_lib2,ref9-9
BD30-319-0_lib2,ref29-32
BD55-192-0_NNSmerged,ref37-40
BD55-192-1_libmerged,ref41-44
BD55-203-0_lib2,ref29-32
BD55-3637-0_lib2,ref12-12
BD55-3637-1_NNSlib2,ref13-13
BD55-4285-0_NNSmerged,ref37-40
BD55-4285-1_NNSmerged,ref37-40
BD55-85-0_NNSmerged,ref37-40
COV2-2268-0_libmerged,ref41-44
COV2-2268-1_libmerged,ref41-44
COV2-2684-0_lib1,ref21-24
COVA2-04-0_NNSmerged,ref25-28
COVA2-04-1_lib2,ref29-32
CV07-209-0_libmerged,ref41-44
CV07-209-1_libmerged,ref41-44
CV30-0_NNSlib1,ref10-10
CV30-1_NNSlib2,ref11-11
CV-X2-106-0_libmerged,ref41-44
CV-X2-106-1_libmerged,ref41-44
Ehling_mAb-50-0_libmerged,ref41-44
Ehling_mAb-50-1_libmerged,ref41-44
TAU-2230-0_lib1,ref21-24
BD30-503-0_libmerged,ref41-44
BD55-1374-0_lib2,ref14-16
BD55-1374-1_NNSlib2,ref17-20
BD55-1694-0_NNSlib2,ref17-20
BD55-1694-1_NNSmerged,ref37-40
BD55-292-0_NNSmerged,ref37-40
BD55-292-1_libmerged,ref41-44
BD55-3457-0_lib2,ref12-12
BD55-3457-1_NNSlib2,ref13-13
C002-0_NNSmerged,ref25-28
C002-1_lib2,ref29-32
P17-0_lib1,ref21-24
P17-1_libmerged,ref41-44
15033-0_lib1,ref21-24
15033-1_libmerged,ref41-44
2-15-0_libmerged,ref41-44
2-15-1_libmerged,ref41-44
BD30-254-0_libmerged,ref41-44
BD30-254-1_libmerged,ref41-44
BD30-362-0_libmerged,ref41-44
BD30-362-1_libmerged,ref41-44
BD30-368-0_lib2,ref29-32
BD30-397-0_lib2,ref29-32
BD30-403-0_libmerged,ref41-44
BD30-403-1_libmerged,ref41-44
BD30-417-0_libmerged,ref41-44
BD30-417-1_libmerged,ref41-44
BD30-593-0_lib2,ref0-0
BD30-593-1_lib2,ref33-36
BD55-13-0_lib2,ref33-36
BD55-13-1_NNSmerged,ref37-40
BD55-1508-0_lib2,ref14-16
BD55-1508-1_NNSlib2,ref17-20
BD55-1579-0_lib2,ref33-36
BD55-1579-1_NNSmerged,ref37-40
BD55-161-0_NNSmerged,ref37-40
BD55-161-1_libmerged,ref41-44
BD55-175-0_NNSmerged,ref37-40
BD55-175-1_libmerged,ref41-44
BD55-1789-0_lib2,ref14-16
BD55-1789-1_NNSlib2,ref17-20
BD55-240-0_lib2,ref33-36
BD55-240-1_NNSmerged,ref37-40
BD55-288-0_lib2,ref29-32
