	D614G	Alpha	Gamma	Beta	Delta	Omicron
LY-CoV555	0.012769163	0.007847207	Inf	Inf	Inf	Inf
CB6	0.031632901	1.706892776	Inf	Inf	0.023816769	Inf
REGN10933	0.005313591	0.007484072	0.054829067	0.098469674	0.002526298	Inf
REGN10987	0.0053904	0.00276388	0.002552161	0.001779957	0.004586716	Inf
AZD8895	0.001260601	0.002254226	0.011965735	0.013980148	0.002360144	6.859648884
AZD1061	0.001435966	0.001394515	0.001889295	0.002670527	0.004321574	Inf
S309	0.058358885	0.080427076	0.066168112	0.049929976	0.073155129	0.181
BRII-196	0.05288334	0.030649507	0.040748236	0.029720079	0.041934828	7.258405393
BD30-604	0.010027793	0.006723321	0.004605868	0.065202334	0.016486208	0.286901399
